id,City,Country,Created At,Hashtags,tweet,label
1,,,10/8/19 8:50,#ارامكو ,اللهدف الريسي التخفيض واللهجمات ارامكو الضغط السعوديه لطرح حصه اضافيه شركه ارامكو التخفيضات الايتمانيه لملكه وشركه ارامكو اكبر شركه نفط العالم ومورد الدخل الريسي لسعوديه تبع تاسي,0
2,,,10/8/19 9:01,#يُتبع ,العكس الظن النوع الطروحات يتم تغطيتها الصناديق الكبري والصناديق السياديه لدول ويكون حص الافراد ضيله تبع واحده يربحك الكثير ظروف السوق لفتره تجريبيه تاسي,0
3,,,10/8/19 7:54,#أرامكو ,واعتبرت الوكالله تاثير اللهجمات موشرات ارامكو سيكون محدودا تبع واحده يربحك الكثير ظروف السوق لفتره تجريبيه تاسي الاسهم السعوديه,1
4,,,10/8/19 8:38,#أرامكو ,واجلت السعوديه الطرح الاولي ارامكو وكشفت ول ستريت جورنال الامريكيه الشهر السعوديه تدرس مضاعفه الحصه المعروضه لبيع طرح اكتتاب ارامكو تضر بنيتها التحتيه النفطيه جر اء اللهجوم المنشاتين تبع تاسي,1
5,,,10/8/19 7:40,#فيتش ,واشارت فيتش الاثنين تخفيض التصنيف ارامكو ياتي تخفيض التصنيف الايتماني لسعوديه خلفيه التوترات الجيوسياسيه عقب استهداف منشات ارامكو ايلول تبع تاسي,0
6,,,10/8/19 8:27,#وزارة_المالية_السعودية ,واعربت وزاره الماليه السعوديه تحفظها الوكالله واعتبرته مستعجلا تبع واحده يربحك الكثير ظروف السوق لفتره تجريبيه تاسي,1
7,,,10/8/19 9:24,#انتهى ,وبناء الانخفاضات تمثل فرص لشراء وبناء لمراكز الماليه انتهى السهم التسجيل الرابحه الفتره التجريبيه تاسي,1
8,,,10/8/19 8:16,#فيتش ,وكالله فيتش خفضت ايلول التصنيف الايتماني لسعوديه درجه نظره مستقبليه مستقره خلفيه اللهجمات المذكوره تبع تاسي السوق السعودي,0
9,,,24/08/2019 11:06,#ضمان_مدى_الحياة ,ضمان الحياه عباره تداولها مستوصفات الاسنان النهايه يعطيك فاتوره يقلك الضمان الفاتوره تعتبر ضمان مادامت لاتحوي الحقوق والواجبات المستوصف الضامن قفل تنفعك الفاتوره,1
10,,,4/23/19 10:19,#السوق_السعودي ,السهم التاسع والاربعون سهم موبايلي اتحاد الاتصالات السوق السعودي سوق الاسهم السعوديه تاسي تداول الموشر العام سهم,1
11,Riyadh,Kingdom of Saudi Arabia,10/8/19 12:46,#أخباركم_الاقتصادية ,اخباركم الاقتصاديه اغلق موشر سوق الاسهم السعوديه منخفضا بتداولات بلغت قيمتها اغلق موشر سوق الاسهم الموازيه نمو منخفضا بتداولات بلغت ملاين,0
12,Riyadh,Kingdom of Saudi Arabia,10/6/19 8:11,#أخباركم_الإقتصادية #الأسهم ,اخباركم الاقتصاديه افتاح الجلسه الصباحيه لسوق الاسهم السعوديه,1
13,Riyadh,Kingdom of Saudi Arabia,10/6/19 14:42,#أخباركم_الإقتصادية #الأسهم ,اخباركم الاقتصاديه اغلاق سوق الاسهم السعوديه السوق الريسي,0
14,Riyadh,Kingdom of Saudi Arabia,10/7/19 14:33,#أخباركم_الإقتصادية #الأسهم ,اخباركم الاقتصاديه نظره اغلاق سوق الاسهم السعوديه,1
15,Riyadh,Kingdom of Saudi Arabia,10/5/19 16:31,#أخباركم_الإقتصادية #الأسهم ,اخباركم الاقتصاديه نظره اغلاق سوق الاسهم السعوديه الاسبوع,1
16,Riyadh,Kingdom of Saudi Arabia,10/7/19 8:58,#الرياض ,الجهات الامنيه تقبض شابين سورين تداول مقطع فيديو ظهرهما يقومان تحدي الشيشه فتيات الرياض,0
17,Taif,Kingdom of Saudi Arabia,9/30/19 20:45,#تاسي ,تاسي فريم شهري يدعو لتفاول الاسهم تصل قيعان متوقعه الشهر محفزات اكتتابات مكن,0
18,Taif,Kingdom of Saudi Arabia,10/8/19 10:43,#تاسي ,تاسي الموشر توقف وقت الصلاه بالتحليل مسار افقي ساعه اش السب,0
19,Yanbu,Kingdom of Saudi Arabia,10/8/19 9:10,#اللهيئة_الملكية ,اللهيه الملكيه بينبع توقع اتفاقيه استثماريه شركه همسات لانشاء وتشغيل شق فندقيه بالواجه البحريه المتوقع افتاح المشروع الربع الثالث سنتين,1
20,,,6/10/19 7:05,#تاسي ,الخيرات زودني باسهمك يجيك تحليله خاص الحين تاسي الاسهم السعوديه السوق السعودي سابك دار الاركا,1
21,,,10/13/19 9:42,#صباح_الخير ,الخير زودني باسهمك الحين نبدا عمل باذن الله الخير الاحد السعوديه تاسي السوق السعودي,1
22,,,10/13/19 9:39,#رتويت ,اسمنت حايل المراقبه يتحرك السهم نمط مثلث سعرى اختراق مقاومه ال اشراه ايجابيه يستدف السهم رتويت خلي يستفيد زودني باسهمك خاص تحليلاتها مستهدفاتها رتويت اسمنت حايل السعوديه السوق السعودي سابك دار الاركان,1
23,,,2/10/19 20:14,#تداول ,زودني باسهمك عي الخاص تحليل لسهم مستهدفه تداول السعوديه السوق السعودي سابك دار الاركان,1
24,,,10/6/19 9:17,#صباح_الخير ,الخير زودني باسهمك الحين نبدا عمل باذن الله الخير الاحد السعوديه تاسي السوق السعودي الاسهم السعوديه,1
25,Riyadh,Kingdom of Saudi Arabia,10/8/19 13:47,#فرانشايز ,بمناسبه صدور مجلس باعتماد نظام الامتياز التجاري يسعدني اكون ضيفا ظهرا قناه الاخباريه لحديث الحدث النوعي واثره صناعه الفرانشايز السوق السعودي فرانشايز امتياز تجاري,1
26,,,10/9/19 15:09,#تداول ,الضغط قناه العربيه نزلت خبر اكتتاب ارامكو نزلنا الخبر اعلان قناه العربيه قناه العربيه تحول الناطق الرسمي لتداول وهيه سوق المال تداول,0
27,,,10/8/19 17:30,#تداول ,المعلومه تاريخ اكتتاب ارامكو تاجيل اخر الاقرب شهر تداول,1
28,,,10/8/19 11:13,#تداول ,اسلوب النزول وحسب متابعه السيوله والعرض حاصل ياكد اكتتاب ارامكو صحيح نتظر حتي الاعلان النفي تداول تاسي,0
29,,,10/9/19 15:46,#ارامكو ,اكتتاب شركه ارامكو العملاقه اسال الله التوفيق ارامكو تداول,1
30,,,10/7/19 16:07,#تداول ,القطاع صناعي متداول خسران يبدل سهمه سهم السريع ماعنده خساره يرتاح شوي حتي نعرف الموشرات كامله تداول تاسي,0
31,,,10/11/19 20:07,#تداول ,الموشر يصح نعلم هدفه تنزيل التصنيف لشركه ارامكو حدث جديد الاسواق تاثر بالحروب حدث سياسي كثر ماتاثر تعثرات ماليه اقتصاديه الاحد الاثنين اتكلم اهداف الموشر وقاع الشراء والتعديل تداول,0
32,,,10/7/19 13:10,#تداول ,سهم شركته تملك مصنع خروج والاحتفاظ بالكاش الدخول بالقطاع الصناعي باستثناء سهم الجزيره ريت وسهم بترو كيم وسهم الصادرات اتمني الاصدقاء الالتزام حتي نحافظ السيوله طبيعه الايراني بالمنطقه والاصرار اكتتاب ارامكو قاعدين يدمرون السوق موت بطي تداول,0
33,,,10/5/19 22:01,#تداول ,سهم اسمنت نجران سهم الجزيره ريت وسهم السريع ضغط مفتعل الاسهم خير تداول,0
34,,,10/13/19 7:23,#تداول ,الخير نسبه سهم البحري موشر خير الصعود دخول خلك الاسهم الرابحه وخفيفه صناعي وخدمات تداول,1
35,,,10/7/19 11:47,#تداول ,صعود اسهم سوق نمو جماعي استثناء ذالك اسهم القطاع سيه ماليا صعد الجميع السب خبر القطاع وتبين الاهتمام بالسوق اداريا افضل الاهتمام بالاسهم نفسها السوق العام قانون حقوق اولويه دمر السوق ونحتاج تعديل افضل وجود فرص تداول,1
36,,,10/9/19 14:57,#ارامكو ,ماتكلمت الابتعاد الاسهم القياديه ارامكو تداول,1
37,,,10/7/19 23:45,#تداول ,الاسهم القياديه اكتتاب ارامكو بيع عشواي بالمزاد لايهمها احترام السوق تداول,0
38,,,9/21/19 13:10,#سوق_الاسهم_السعودي_تاسي ,الموثران الاكبر اعتقادي سوق الاسهم السعودي تاسي رده فعل الملكه العربيه السعوديه المجتمع الدولي الاعتداء حصل منشيتي ارامكو اخبار رسميه طرح شركه ارامكو,0
39,,,9/11/19 10:03,#سوق_الاسهم_السعودي ,اسباب نزول سوق الاسهم السعودي براي ادراج شركه ارامكو وجود معلومات كافيه الادراج اسواق المال عالميا توتر الامور واضحه سنعرف موضوع الادراج شركه ارامكو العملاقه سترفع رايه الملكه عاليا عالميا وقت الادراج باذن الله,0
40,,,9/10/19 8:15,#سوق_الاسهم_السعودي_تاسي ,تصريحات صندوق النقد الدولي ضغطت سوق الاسهم السعودي تاسي السوق متخوف موضوع ادراج ارامكو توفير سيوله لادراج التركيز الشركات القياديه المكرات المنخفضه نمو الارباح الجيد,0
41,,,10/13/19 6:30,#سوق_الاسهم_السعودي_تاسي ,الضروري يتراجع سوق الاسهم السعودي تاسي اعلان طرح شركه ارامكو يرتفع الاقل عامل قوي يدعم الفكره تنفيذه,1
42,,,9/25/19 16:08,#سوق_الاسهم_السعودي ,وضع سوق الاسهم السعودي زال الحذر مطلوب مكر الربحيه مرتفع الشركات الخاسره المستوى قمته تقريبا تاسي نزل قمته الاخيره مكر الربحيه استمر ارباح الشركات تراجعت,1
43,,,9/1/19 9:56,#بنك_الرياض ,بنك الرياض الانضمام لموشر ام اس سي يجلب سيوله ماليه اجنبيه قويه تحافظ توازن السوق السعودي وزياده فعاليته,0
44,,,9/24/19 15:34,#تاسي ,بترورابغ امدادات الزيت الخام عادت لمستوياتها الطبيعيه تاسي تداول الاسهم السوق الماليه الاقت,0
