id,City,Country,date,Hashtags,tweet,sentiment,sector
1.0,,,10/8/2019 8:50,#ارامكو ,اللهدف الريسي التخفيض واللهجمات ارامكو الضغط السعوديه لطرح حصه اضافيه شركه ارامكو التخفيضات الايتمانيه لملكه وشركه ارامكو اكبر شركه نفط العالم ومورد الدخل الريسي لسعوديه تبع تاسي,0.0,aramco
2.0,,,10/8/2019 9:01,#يُتبع ,العكس الظن النوع الطروحات يتم تغطيتها الصناديق الكبري والصناديق السياديه لدول ويكون حص الافراد ضيله تبع واحده يربحك الكثير ظروف السوق لفتره تجريبيه تاسي,0.0,other
3.0,,,10/8/2019 7:54,#أرامكو ,واعتبرت الوكالله تاثير اللهجمات موشرات ارامكو سيكون محدودا تبع واحده يربحك الكثير ظروف السوق لفتره تجريبيه تاسي الاسهم السعوديه,1.0,aramco
4.0,,,10/8/2019 8:38,#أرامكو ,واجلت السعوديه الطرح الاولي ارامكو وكشفت ول ستريت جورنال الامريكيه الشهر السعوديه تدرس مضاعفه الحصه المعروضه لبيع طرح اكتتاب ارامكو تضر بنيتها التحتيه النفطيه جر اء اللهجوم المنشاتين تبع تاسي,1.0,aramco
5.0,,,10/8/2019 7:40,#فيتش ,واشارت فيتش الاثنين تخفيض التصنيف ارامكو ياتي تخفيض التصنيف الايتماني لسعوديه خلفيه التوترات الجيوسياسيه عقب استهداف منشات ارامكو ايلول تبع تاسي,0.0,aramco
6.0,,,10/8/2019 8:27,#وزارة_المالية_السعودية ,واعربت وزاره الماليه السعوديه تحفظها الوكالله واعتبرته مستعجلا تبع واحده يربحك الكثير ظروف السوق لفتره تجريبيه تاسي,1.0,other
7.0,,,10/8/2019 9:24,#انتهى ,وبناء الانخفاضات تمثل فرص لشراء وبناء لمراكز الماليه انتهى السهم التسجيل الرابحه الفتره التجريبيه تاسي,1.0,other
8.0,,,10/8/2019 8:16,#فيتش ,وكالله فيتش خفضت ايلول التصنيف الايتماني لسعوديه درجه نظره مستقبليه مستقره خلفيه اللهجمات المذكوره تبع تاسي السوق السعودي,0.0,other
9.0,,,24/08/2019 11:06,#ضمان_مدى_الحياة ,ضمان الحياه عباره تداولها مستوصفات الاسنان النهايه يعطيك فاتوره يقلك الضمان الفاتوره تعتبر ضمان مادامت لاتحوي الحقوق والواجبات المستوصف الضامن قفل تنفعك الفاتوره,1.0,other
10.0,,,4/23/2019 10:19,#السوق_السعودي ,السهم التاسع والاربعون سهم موبايلي اتحاد الاتصالات السوق السعودي سوق الاسهم السعوديه تاسي تداول الموشر العام سهم,1.0,other
11.0,Riyadh,Kingdom of Saudi Arabia,10/8/2019 12:46,#أخباركم_الاقتصادية ,اخباركم الاقتصاديه اغلق موشر سوق الاسهم السعوديه منخفضا بتداولات بلغت قيمتها اغلق موشر سوق الاسهم الموازيه نمو منخفضا بتداولات بلغت ملاين,0.0,other
12.0,Riyadh,Kingdom of Saudi Arabia,10/6/2019 8:11,#أخباركم_الإقتصادية #الأسهم ,اخباركم الاقتصاديه افتاح الجلسه الصباحيه لسوق الاسهم السعوديه,1.0,other
13.0,Riyadh,Kingdom of Saudi Arabia,10/6/2019 14:42,#أخباركم_الإقتصادية #الأسهم ,اخباركم الاقتصاديه اغلاق سوق الاسهم السعوديه السوق الريسي,0.0,other
14.0,Riyadh,Kingdom of Saudi Arabia,10/7/2019 14:33,#أخباركم_الإقتصادية #الأسهم ,اخباركم الاقتصاديه نظره اغلاق سوق الاسهم السعوديه,1.0,other
15.0,Riyadh,Kingdom of Saudi Arabia,10/5/2019 16:31,#أخباركم_الإقتصادية #الأسهم ,اخباركم الاقتصاديه نظره اغلاق سوق الاسهم السعوديه الاسبوع,1.0,other
16.0,Riyadh,Kingdom of Saudi Arabia,10/7/2019 8:58,#الرياض ,الجهات الامنيه تقبض شابين سورين تداول مقطع فيديو ظهرهما يقومان تحدي الشيشه فتيات الرياض,0.0,other
17.0,Taif,Kingdom of Saudi Arabia,9/30/2019 20:45,#تاسي ,تاسي فريم شهري يدعو لتفاول الاسهم تصل قيعان متوقعه الشهر محفزات اكتتابات مكن,0.0,other
18.0,Taif,Kingdom of Saudi Arabia,10/8/2019 10:43,#تاسي ,تاسي الموشر توقف وقت الصلاه بالتحليل مسار افقي ساعه اش السب,0.0,other
19.0,Yanbu,Kingdom of Saudi Arabia,10/8/2019 9:10,#اللهيئة_الملكية ,اللهيه الملكيه بينبع توقع اتفاقيه استثماريه شركه همسات لانشاء وتشغيل شق فندقيه بالواجه البحريه المتوقع افتاح المشروع الربع الثالث سنتين,1.0,other
20.0,,,6/10/2019 7:05,#تاسي ,الخيرات زودني باسهمك يجيك تحليله خاص الحين تاسي الاسهم السعوديه السوق السعودي سابك دار الاركا,1.0,other
21.0,,,10/13/2019 9:42,#صباح_الخير ,الخير زودني باسهمك الحين نبدا عمل باذن الله الخير الاحد السعوديه تاسي السوق السعودي,1.0,other
22.0,,,10/13/2019 9:39,#رتويت ,اسمنت حايل المراقبه يتحرك السهم نمط مثلث سعرى اختراق مقاومه ال اشراه ايجابيه يستدف السهم رتويت خلي يستفيد زودني باسهمك خاص تحليلاتها مستهدفاتها رتويت اسمنت حايل السعوديه السوق السعودي سابك دار الاركان,1.0,other
23.0,,,2/10/2019 20:14,#تداول ,زودني باسهمك عي الخاص تحليل لسهم مستهدفه تداول السعوديه السوق السعودي سابك دار الاركان,1.0,other
24.0,,,10/6/2019 9:17,#صباح_الخير ,الخير زودني باسهمك الحين نبدا عمل باذن الله الخير الاحد السعوديه تاسي السوق السعودي الاسهم السعوديه,1.0,other
25.0,Riyadh,Kingdom of Saudi Arabia,10/8/2019 13:47,#فرانشايز ,بمناسبه صدور مجلس باعتماد نظام الامتياز التجاري يسعدني اكون ضيفا ظهرا قناه الاخباريه لحديث الحدث النوعي واثره صناعه الفرانشايز السوق السعودي فرانشايز امتياز تجاري,1.0,other
26.0,,,10/9/2019 15:09,#تداول ,الضغط قناه العربيه نزلت خبر اكتتاب ارامكو نزلنا الخبر اعلان قناه العربيه قناه العربيه تحول الناطق الرسمي لتداول وهيه سوق المال تداول,0.0,aramco
